Participant_ID,Age_Group,Gender,Background,Experience,Task,NASA_Mental,NASA_Physical,NASA_Temporal,NASA_Performance,NASA_Effort,NASA_Frustration,SWAT_Time,SWAT_Mental,SWAT_Stress
1,26-35 years,Male,Strong technical background,Average experience,Simple Image Generation,6.0,7.0,11,12,11.0,10.0,2,2,1
2,18-25 years,Female,Creative industries,Beginner user,Simple Image Generation,8.0,11.0,6,9,6.0,8.0,2,1,2
3,36-45 years,Male,General users,Beginner user,Simple Image Generation,8.0,9.0,11,11,11.0,8.0,1,1,2
4,26-35 years,Female,Creative industries,High experience,Simple Image Generation,8.0,12.0,12,9,10.0,6.0,1,3,1
5,18-25 years,Male,Strong technical background,Average experience,Simple Image Generation,10.0,11.0,10,8,6.0,6.0,1,1,1
6,36-45 years,Male,Strong technical background,Average experience,Simple Image Generation,11.0,6.0,11,6,6.0,11.0,2,2,2
7,26-35 years,Female,Creative industries,Beginner user,Simple Image Generation,10.0,6.0,11,12,6.0,10.0,2,1,1
8,18-25 years,Male,General users,Beginner user,Simple Image Generation,7.0,12.0,7,10,12.0,9.0,1,1,1
9,36-45 years,F,Creative industries,High experience,Simple Image Generation,11.0,10.0,9,11,12.0,10.0,1,1,1
10,26-35 years,Male,Strong technical background,Average experience,Simple Image Generation,8.0,11.0,8,11,6.0,9.0,2,1,2
11,18-25 years,Male,Strong technical background,Average experience,Simple Image Generation,6.0,6.0,9,8,12.0,10.0,1,1,1
12,36-45 years,Female,Creative industries,Beginner user,Simple Image Generation,11.0,12.0,11,11,9.0,11.0,1,2,1
13,26-35 years,Male,General users,Beginner user,Simple Image Generation,7.0,7.0,7,9,8.0,12.0,1,1,2
14,18-25 years,Female,Creative industries,High experience,Simple Image Generation,9.0,8.0,8,8,7.0,7.0,1,2,1
15,36-45 years,Male,Strong technical background,Average experience,Simple Image Generation,9.0,6.0,8,7,6.0,7.0,1,1,2
16,26-35 years,M,Strong technical background,Average experience,Simple Image Generation,10.0,12.0,11,12,10.0,12.0,1,1,2
17,18-25 years,Female,Creative industries,Beginner user,Simple Image Generation,7.0,10.0,12,7,11.0,9.0,1,1,2
18,36-45 years,Male,General users,Beginner user,Simple Image Generation,11.0,6.0,11,10,7.0,11.0,1,2,2
19,26-35 years,Female,Creative industries,High experience,Simple Image Generation,9.0,10.0,7,7,11.0,7.0,2,2,1
20,18-25 years,Male,Strong technical background,Average experience,Simple Image Generation,11.0,10.0,9,9,12.0,11.0,1,2,1
21,36-45 years,Male,Strong technical background,Average experience,Simple Image Generation,11.0,8.0,7,6,6.0,11.0,1,1,1
22,26-35 years,Female,Creative industries,Beginner user,Simple Image Generation,12.0,7.0,6,11,12.0,12.0,1,1,1
23,18-25 years,M,General users,Beginner user,Simple Image Generation,9.0,12.0,10,9,7.0,11.0,2,1,1
24,36-45 years,F,Creative industries,High experience,Simple Image Generation,10.0,8.0,6,9,8.0,11.0,2,2,2
25,26-35 years,Male,Strong technical background,Average experience,Simple Image Generation,11.0,9.0,7,12,12.0,6.0,2,1,2
26,18-25 years,Male,Strong technical background,Average experience,Simple Image Generation,6.0,10.0,7,8,10.0,7.0,1,2,1
27,36-45 years,Female,Creative industries,Beginner user,Simple Image Generation,11.0,7.0,10,10,11.0,7.0,2,1,1
